time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.929687488293547e-015	0.000000e+000	3.906250e-007
5.859374976587093e-015	0.000000e+000	7.812500e-007
6.862165151151572e-012	0.000000e+000	9.149554e-004
1.371847092732656e-011	0.000000e+000	1.829129e-003
2.057477670350154e-011	0.000000e+000	2.743304e-003
2.743108247967653e-011	0.000000e+000	3.657478e-003
3.428738825585152e-011	0.000000e+000	4.571652e-003
4.114369403202650e-011	0.000000e+000	5.485826e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.404606014236565e-010	0.000000e+000	1.872808e-002
1.783236865824398e-010	0.000000e+000	2.377649e-002
2.133624804419516e-010	0.000000e+000	2.844833e-002
2.524063542346297e-010	0.000000e+000	3.365418e-002
2.929017788970762e-010	0.000000e+000	3.905357e-002
3.425937548498220e-010	0.000000e+000	4.567917e-002
3.978514655120642e-010	0.000000e+000	5.304686e-002
4.645797710677486e-010	0.000000e+000	6.194397e-002
5.403068812387476e-010	0.000000e+000	7.204092e-002
6.307358062350090e-010	0.000000e+000	8.409811e-002
7.079893803692061e-010	0.000000e+000	9.439858e-002
7.836459236611387e-010	0.000000e+000	1.044861e-001
8.648150319715850e-010	0.000000e+000	1.153087e-001
9.533838991931495e-010	0.000000e+000	1.271179e-001
1.051271808406195e-009	0.000000e+000	1.401696e-001
1.159241009936828e-009	0.000000e+000	1.545655e-001
1.278989387682822e-009	0.000000e+000	1.705319e-001
1.396557812889042e-009	0.000000e+000	1.862077e-001
1.506237046328307e-009	0.000000e+000	2.008316e-001
1.622814105635592e-009	0.000000e+000	2.163752e-001
1.745252821730090e-009	0.000000e+000	2.327004e-001
1.878826092854392e-009	0.000000e+000	2.505102e-001
2.021722797969882e-009	0.000000e+000	2.695630e-001
2.177735489724570e-009	0.000000e+000	2.903647e-001
2.313196995441448e-009	0.000000e+000	3.084263e-001
2.459900481889272e-009	0.000000e+000	3.279867e-001
2.607287994033612e-009	0.000000e+000	3.476384e-001
2.769490394963849e-009	0.000000e+000	3.692654e-001
2.937795246810041e-009	0.000000e+000	3.917060e-001
3.121752783602838e-009	0.000000e+000	4.162337e-001
3.302567426918073e-009	0.000000e+000	4.403423e-001
3.469663158169185e-009	0.000000e+000	4.626217e-001
3.654689521797214e-009	0.000000e+000	4.872919e-001
3.840326689612211e-009	0.000000e+000	5.120435e-001
4.044539681067157e-009	0.000000e+000	5.392720e-001
4.227764994987606e-009	0.000000e+000	5.637020e-001
4.422060863015607e-009	0.000000e+000	5.896081e-001
4.617703286808859e-009	0.000000e+000	6.156937e-001
4.828249794968700e-009	0.000000e+000	6.437666e-001
5.045663481100010e-009	0.000000e+000	6.727551e-001
5.245441075231733e-009	0.000000e+000	6.993921e-001
5.458755053440760e-009	0.000000e+000	7.278340e-001
5.673038340546209e-009	0.000000e+000	7.564051e-001
5.903234374701521e-009	0.000000e+000	7.870979e-001
6.139853745656884e-009	0.000000e+000	8.186471e-001
6.361321752244273e-009	0.000000e+000	8.481762e-001
6.593822328680316e-009	0.000000e+000	8.791763e-001
6.829555108356707e-009	0.000000e+000	9.106073e-001
7.079883430092167e-009	0.000000e+000	9.439844e-001
7.241472718691558e-009	0.000000e+000	9.655297e-001
7.281792218401954e-009	0.000000e+000	9.709056e-001
7.362431217822746e-009	0.000000e+000	9.816575e-001
7.499999999999999e-009	0.000000e+000	1.000000e+000
7.513756878217725e-009	0.000000e+000	1.000000e+000
7.541270634653175e-009	0.000000e+000	1.000000e+000
7.596298147524077e-009	0.000000e+000	1.000000e+000
7.706353173265880e-009	0.000000e+000	1.000000e+000
7.926463224749485e-009	0.000000e+000	1.000000e+000
8.165171580565447e-009	0.000000e+000	1.000000e+000
8.402737421335003e-009	0.000000e+000	1.000000e+000
8.670384792129401e-009	0.000000e+000	1.000000e+000
8.922443892864793e-009	0.000000e+000	1.000000e+000
9.203252571979989e-009	0.000000e+000	1.000000e+000
9.479896087609552e-009	0.000000e+000	1.000000e+000
9.765674830771160e-009	0.000000e+000	1.000000e+000
1.003512079189841e-008	0.000000e+000	1.000000e+000
1.032786309669213e-008	0.000000e+000	1.000000e+000
1.061910649875856e-008	0.000000e+000	1.000000e+000
1.091207524875856e-008	0.000000e+000	1.000000e+000
1.119789959586993e-008	0.000000e+000	1.000000e+000
1.149086834586993e-008	0.000000e+000	1.000000e+000
1.178383709586993e-008	0.000000e+000	1.000000e+000
1.207680584586993e-008	0.000000e+000	1.000000e+000
1.236977459586993e-008	0.000000e+000	1.000000e+000
1.266274334586993e-008	0.000000e+000	1.000000e+000
1.295571209586993e-008	0.000000e+000	1.000000e+000
1.324868084586993e-008	0.000000e+000	1.000000e+000
1.354164959586993e-008	0.000000e+000	1.000000e+000
1.383461834586993e-008	0.000000e+000	1.000000e+000
1.412758709586993e-008	0.000000e+000	1.000000e+000
1.442055584586993e-008	0.000000e+000	1.000000e+000
1.471352459586993e-008	0.000000e+000	1.000000e+000
1.500649334586993e-008	0.000000e+000	1.000000e+000
1.529946209586993e-008	0.000000e+000	1.000000e+000
1.559243084586993e-008	0.000000e+000	1.000000e+000
1.588539959586994e-008	0.000000e+000	1.000000e+000
1.617836834586994e-008	0.000000e+000	1.000000e+000
1.647133709586994e-008	0.000000e+000	1.000000e+000
1.676430584586994e-008	0.000000e+000	1.000000e+000
1.705727459586994e-008	0.000000e+000	1.000000e+000
1.735024334586994e-008	0.000000e+000	1.000000e+000
1.764321209586994e-008	0.000000e+000	1.000000e+000
1.793618084586994e-008	0.000000e+000	1.000000e+000
1.822914959586994e-008	0.000000e+000	1.000000e+000
1.852211834586994e-008	0.000000e+000	1.000000e+000
1.881508709586994e-008	0.000000e+000	1.000000e+000
1.910805584586994e-008	0.000000e+000	1.000000e+000
1.940102459586994e-008	0.000000e+000	1.000000e+000
1.969399334586994e-008	0.000000e+000	1.000000e+000
1.998696209586994e-008	0.000000e+000	1.000000e+000
2.027993084586994e-008	0.000000e+000	1.000000e+000
2.057289959586994e-008	0.000000e+000	1.000000e+000
2.086586834586994e-008	0.000000e+000	1.000000e+000
2.115883709586994e-008	0.000000e+000	1.000000e+000
2.145180584586994e-008	0.000000e+000	1.000000e+000
2.174477459586995e-008	0.000000e+000	1.000000e+000
2.203774334586995e-008	0.000000e+000	1.000000e+000
2.233071209586995e-008	0.000000e+000	1.000000e+000
2.262368084586995e-008	0.000000e+000	1.000000e+000
2.291664959586995e-008	0.000000e+000	1.000000e+000
2.320961834586995e-008	0.000000e+000	1.000000e+000
2.350258709586995e-008	0.000000e+000	1.000000e+000
2.379555584586995e-008	0.000000e+000	1.000000e+000
2.408852459586995e-008	0.000000e+000	1.000000e+000
2.438149334586995e-008	0.000000e+000	1.000000e+000
2.467446209586995e-008	0.000000e+000	1.000000e+000
2.496743084586995e-008	0.000000e+000	1.000000e+000
2.526039959586995e-008	0.000000e+000	1.000000e+000
2.555336834586995e-008	0.000000e+000	1.000000e+000
2.584633709586995e-008	0.000000e+000	1.000000e+000
2.613930584586995e-008	0.000000e+000	1.000000e+000
2.643227459586995e-008	0.000000e+000	1.000000e+000
2.672524334586995e-008	0.000000e+000	1.000000e+000
2.701821209586995e-008	0.000000e+000	1.000000e+000
2.731118084586995e-008	0.000000e+000	1.000000e+000
2.760414959586996e-008	0.000000e+000	1.000000e+000
2.789711834586996e-008	0.000000e+000	1.000000e+000
2.819008709586996e-008	0.000000e+000	1.000000e+000
2.848305584586996e-008	0.000000e+000	1.000000e+000
2.877602459586996e-008	0.000000e+000	1.000000e+000
2.906899334586996e-008	0.000000e+000	1.000000e+000
2.936196209586996e-008	0.000000e+000	1.000000e+000
2.965493084586996e-008	0.000000e+000	1.000000e+000
2.994789959586996e-008	1.401298e-045	1.000000e+000
3.024086834586996e-008	2.802597e-045	1.000000e+000
3.053383709586996e-008	8.407791e-045	1.000000e+000
3.082680584586996e-008	2.101948e-044	1.000000e+000
3.111977459586996e-008	5.885454e-044	1.000000e+000
3.141274334586996e-008	1.555441e-043	1.000000e+000
3.170571209586996e-008	4.091792e-043	1.000000e+000
3.199868084586996e-008	1.070592e-042	1.000000e+000
3.229164959586996e-008	2.777374e-042	1.000000e+000
3.258461834586996e-008	7.146622e-042	1.000000e+000
3.287758709586996e-008	1.823229e-041	1.000000e+000
3.317055584586997e-008	4.614196e-041	1.000000e+000
3.346352459586997e-008	1.158411e-040	1.000000e+000
3.375649334586997e-008	2.885344e-040	1.000000e+000
3.404946209586997e-008	7.130872e-040	1.000000e+000
3.434243084586997e-008	1.748812e-039	1.000000e+000
3.463539959586997e-008	4.256388e-039	1.000000e+000
3.492836834586997e-008	1.028202e-038	1.000000e+000
3.522133709586997e-008	2.465447e-038	1.000000e+000
3.551430584586997e-008	5.868579e-038	1.000000e+000
3.580727459586997e-008	1.386849e-037	1.000000e+000
3.610024334586997e-008	3.254039e-037	1.000000e+000
3.639321209586997e-008	7.581423e-037	1.000000e+000
3.668618084586997e-008	1.754082e-036	1.000000e+000
3.697914959586997e-008	4.030470e-036	1.000000e+000
3.727211834586997e-008	9.198210e-036	1.000000e+000
3.756508709586997e-008	2.085101e-035	1.000000e+000
3.785805584586997e-008	4.695268e-035	1.000000e+000
3.815102459586997e-008	1.050355e-034	1.000000e+000
3.844399334586997e-008	2.334461e-034	1.000000e+000
3.873696209586997e-008	5.155171e-034	1.000000e+000
3.902993084586998e-008	1.131193e-033	1.000000e+000
3.932289959586998e-008	2.466592e-033	1.000000e+000
3.961586834586998e-008	5.345090e-033	1.000000e+000
3.990883709586998e-008	1.151168e-032	1.000000e+000
4.020180584586998e-008	2.464204e-032	1.000000e+000
4.049477459586998e-008	5.243209e-032	1.000000e+000
4.078774334586998e-008	1.108989e-031	1.000000e+000
4.108071209586998e-008	2.331815e-031	1.000000e+000
4.137368084586998e-008	4.874430e-031	1.000000e+000
4.166664959586998e-008	1.013077e-030	1.000000e+000
4.195961834586998e-008	2.093510e-030	1.000000e+000
4.225258709586998e-008	4.301764e-030	1.000000e+000
4.254555584586998e-008	8.789852e-030	1.000000e+000
4.283852459586998e-008	1.786092e-029	1.000000e+000
4.313149334586998e-008	3.609416e-029	1.000000e+000
4.342446209586998e-008	7.254441e-029	1.000000e+000
4.371743084586998e-008	1.450198e-028	1.000000e+000
4.401039959586998e-008	2.883564e-028	1.000000e+000
4.430336834586998e-008	5.703381e-028	1.000000e+000
4.459633709586998e-008	1.122166e-027	1.000000e+000
4.488930584586999e-008	2.196468e-027	1.000000e+000
4.518227459586999e-008	4.277167e-027	1.000000e+000
4.547524334586999e-008	8.286508e-027	1.000000e+000
4.576821209586999e-008	1.597316e-026	1.000000e+000
4.606118084586999e-008	3.063609e-026	1.000000e+000
4.635414959586999e-008	5.846807e-026	1.000000e+000
4.664711834586999e-008	1.110365e-025	1.000000e+000
4.694008709586999e-008	2.098421e-025	1.000000e+000
4.723305584586999e-008	3.946554e-025	1.000000e+000
4.752602459586999e-008	7.386858e-025	1.000000e+000
4.781899334586999e-008	1.376053e-024	1.000000e+000
4.811196209586999e-008	2.551303e-024	1.000000e+000
4.840493084586999e-008	4.708222e-024	1.000000e+000
