time	V(-1)	V(1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.929687488293547e-015	0.000000e+000	3.906250e-007
5.859374976587093e-015	0.000000e+000	7.812500e-007
6.862165151151572e-012	0.000000e+000	9.149554e-004
1.371847092732656e-011	0.000000e+000	1.829129e-003
2.057477670350154e-011	0.000000e+000	2.743304e-003
2.743108247967653e-011	0.000000e+000	3.657478e-003
3.428738825585152e-011	0.000000e+000	4.571652e-003
4.114369403202650e-011	0.000000e+000	5.485826e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.410731006471519e-010	0.000000e+000	1.880975e-002
1.800360484699701e-010	0.000000e+000	2.400481e-002
2.163501570313949e-010	0.000000e+000	2.884669e-002
2.557089429210023e-010	0.000000e+000	3.409453e-002
2.969943986102463e-010	0.000000e+000	3.959925e-002
3.470930070944919e-010	0.000000e+000	4.627907e-002
4.032572126221141e-010	0.000000e+000	5.376763e-002
4.706226872507808e-010	0.000000e+000	6.274969e-002
5.474284788203255e-010	0.000000e+000	7.299046e-002
6.387325747219689e-010	0.000000e+000	8.516435e-002
7.218928646574491e-010	0.000000e+000	9.625238e-002
7.986966359274605e-010	0.000000e+000	1.064929e-001
8.831181213339970e-010	0.000000e+000	1.177491e-001
9.724007427536876e-010	0.000000e+000	1.296534e-001
1.073084174266352e-009	0.000000e+000	1.430779e-001
1.182204533962823e-009	0.000000e+000	1.576273e-001
1.304728466736237e-009	0.000000e+000	1.739638e-001
1.438988760422154e-009	0.000000e+000	1.918652e-001
1.553610844007864e-009	0.000000e+000	2.071481e-001
1.677156280410468e-009	0.000000e+000	2.236208e-001
1.802244199196261e-009	0.000000e+000	2.402992e-001
1.941395076561270e-009	0.000000e+000	2.588527e-001
2.087498883171345e-009	0.000000e+000	2.783332e-001
2.249028145586674e-009	0.000000e+000	2.998704e-001
2.393473443052887e-009	0.000000e+000	3.191298e-001
2.557607730782452e-009	0.000000e+000	3.410144e-001
2.705920629801728e-009	0.000000e+000	3.607894e-001
2.879542706824670e-009	0.000000e+000	3.839390e-001
3.050004811663141e-009	0.000000e+000	4.066673e-001
3.243884494999620e-009	0.000000e+000	4.325179e-001
3.413873002615502e-009	0.000000e+000	4.551831e-001
3.595522273086035e-009	0.000000e+000	4.794030e-001
3.777246855753268e-009	0.000000e+000	5.036329e-001
3.974935598602505e-009	0.000000e+000	5.299914e-001
4.178901439527921e-009	0.000000e+000	5.571868e-001
4.399584584231137e-009	0.000000e+000	5.866113e-001
4.598923817806871e-009	0.000000e+000	6.131898e-001
4.810263740450750e-009	0.000000e+000	6.413685e-001
5.023594239050839e-009	0.000000e+000	6.698126e-001
5.253088382775351e-009	0.000000e+000	7.004118e-001
5.490449317296449e-009	0.000000e+000	7.320599e-001
5.711348991717422e-009	0.000000e+000	7.615132e-001
5.942815853243385e-009	0.000000e+000	7.923754e-001
6.178325802656296e-009	0.000000e+000	8.237768e-001
6.428869668486390e-009	0.000000e+000	8.571826e-001
6.659885873727126e-009	0.000000e+000	8.879848e-001
6.902877270052340e-009	0.000000e+000	9.203836e-001
7.147864594894452e-009	0.000000e+000	9.530486e-001
7.239389682463406e-009	0.000000e+000	9.652520e-001
7.316949824862092e-009	0.000000e+000	9.755933e-001
7.344879715202627e-009	0.000000e+000	9.793173e-001
7.400739495883697e-009	0.000000e+000	9.867653e-001
7.499999999999999e-009	0.000000e+000	1.000000e+000
7.509926050411629e-009	0.000000e+000	1.000000e+000
7.529778151234890e-009	0.000000e+000	1.000000e+000
7.569482352881410e-009	0.000000e+000	1.000000e+000
7.648890756174452e-009	0.000000e+000	1.000000e+000
7.807707562760536e-009	0.000000e+000	1.000000e+000
8.063324941794527e-009	0.000000e+000	1.000000e+000
8.299945837939229e-009	0.000000e+000	1.000000e+000
8.589209301274252e-009	0.000000e+000	1.000000e+000
8.859868091956582e-009	0.000000e+000	1.000000e+000
9.152836841956583e-009	0.000000e+000	1.000000e+000
9.418426852785977e-009	0.000000e+000	1.000000e+000
9.711395602785978e-009	0.000000e+000	1.000000e+000
1.000288658825360e-008	0.000000e+000	1.000000e+000
1.029585533825361e-008	0.000000e+000	1.000000e+000
1.058171604331684e-008	0.000000e+000	1.000000e+000
1.087468479331684e-008	0.000000e+000	1.000000e+000
1.116765354331684e-008	0.000000e+000	1.000000e+000
1.146062229331684e-008	0.000000e+000	1.000000e+000
1.175359104331684e-008	0.000000e+000	1.000000e+000
1.204655979331684e-008	0.000000e+000	1.000000e+000
1.233952854331684e-008	0.000000e+000	1.000000e+000
1.263249729331684e-008	0.000000e+000	1.000000e+000
1.292546604331684e-008	0.000000e+000	1.000000e+000
1.321843479331685e-008	0.000000e+000	1.000000e+000
1.351140354331685e-008	0.000000e+000	1.000000e+000
1.380437229331685e-008	0.000000e+000	1.000000e+000
1.409734104331685e-008	0.000000e+000	1.000000e+000
1.439030979331685e-008	0.000000e+000	1.000000e+000
1.468327854331685e-008	0.000000e+000	1.000000e+000
1.497624729331685e-008	0.000000e+000	1.000000e+000
1.526921604331685e-008	0.000000e+000	1.000000e+000
1.556218479331685e-008	0.000000e+000	1.000000e+000
1.585515354331685e-008	0.000000e+000	1.000000e+000
1.614812229331685e-008	0.000000e+000	1.000000e+000
1.644109104331685e-008	0.000000e+000	1.000000e+000
1.673405979331685e-008	0.000000e+000	1.000000e+000
1.702702854331685e-008	0.000000e+000	1.000000e+000
1.731999729331685e-008	0.000000e+000	1.000000e+000
1.761296604331685e-008	0.000000e+000	1.000000e+000
1.790593479331685e-008	0.000000e+000	1.000000e+000
1.819890354331685e-008	0.000000e+000	1.000000e+000
1.849187229331685e-008	0.000000e+000	1.000000e+000
1.878484104331685e-008	0.000000e+000	1.000000e+000
1.907780979331685e-008	0.000000e+000	1.000000e+000
1.937077854331685e-008	0.000000e+000	1.000000e+000
1.966374729331685e-008	0.000000e+000	1.000000e+000
1.995671604331686e-008	0.000000e+000	1.000000e+000
2.024968479331686e-008	0.000000e+000	1.000000e+000
2.054265354331686e-008	0.000000e+000	1.000000e+000
2.083562229331686e-008	0.000000e+000	1.000000e+000
2.112859104331686e-008	0.000000e+000	1.000000e+000
2.142155979331686e-008	0.000000e+000	1.000000e+000
2.171452854331686e-008	0.000000e+000	1.000000e+000
2.200749729331686e-008	0.000000e+000	1.000000e+000
2.230046604331686e-008	0.000000e+000	1.000000e+000
2.259343479331686e-008	0.000000e+000	1.000000e+000
2.288640354331686e-008	0.000000e+000	1.000000e+000
2.317937229331686e-008	0.000000e+000	1.000000e+000
2.347234104331686e-008	0.000000e+000	1.000000e+000
2.376530979331686e-008	0.000000e+000	1.000000e+000
2.405827854331686e-008	0.000000e+000	1.000000e+000
2.435124729331686e-008	0.000000e+000	1.000000e+000
2.464421604331686e-008	0.000000e+000	1.000000e+000
2.493718479331686e-008	0.000000e+000	1.000000e+000
2.523015354331686e-008	0.000000e+000	1.000000e+000
2.552312229331686e-008	0.000000e+000	1.000000e+000
2.581609104331687e-008	0.000000e+000	1.000000e+000
2.610905979331687e-008	0.000000e+000	1.000000e+000
2.640202854331687e-008	0.000000e+000	1.000000e+000
2.669499729331687e-008	0.000000e+000	1.000000e+000
2.698796604331687e-008	0.000000e+000	1.000000e+000
2.728093479331687e-008	0.000000e+000	1.000000e+000
2.757390354331687e-008	0.000000e+000	1.000000e+000
2.786687229331687e-008	0.000000e+000	1.000000e+000
2.815984104331687e-008	0.000000e+000	1.000000e+000
2.845280979331687e-008	0.000000e+000	1.000000e+000
2.874577854331687e-008	0.000000e+000	1.000000e+000
2.903874729331687e-008	0.000000e+000	1.000000e+000
2.933171604331687e-008	0.000000e+000	1.000000e+000
2.962468479331687e-008	0.000000e+000	1.000000e+000
2.991765354331687e-008	0.000000e+000	1.000000e+000
3.021062229331687e-008	0.000000e+000	1.000000e+000
3.050359104331687e-008	0.000000e+000	1.000000e+000
3.079655979331687e-008	0.000000e+000	1.000000e+000
3.108952854331687e-008	0.000000e+000	1.000000e+000
3.138249729331687e-008	0.000000e+000	1.000000e+000
3.167546604331688e-008	0.000000e+000	1.000000e+000
3.196843479331688e-008	1.401298e-045	1.000000e+000
3.226140354331688e-008	2.802597e-045	1.000000e+000
3.255437229331688e-008	8.407791e-045	1.000000e+000
3.284734104331688e-008	2.382207e-044	1.000000e+000
3.314030979331688e-008	6.165713e-044	1.000000e+000
3.343327854331688e-008	1.541428e-043	1.000000e+000
3.372624729331688e-008	3.881597e-043	1.000000e+000
3.401921604331688e-008	9.682972e-043	1.000000e+000
3.431218479331688e-008	2.394819e-042	1.000000e+000
3.460515354331688e-008	5.877046e-042	1.000000e+000
3.489812229331688e-008	1.431987e-041	1.000000e+000
3.519109104331688e-008	3.463870e-041	1.000000e+000
3.548405979331688e-008	8.318528e-041	1.000000e+000
3.577702854331688e-008	1.983524e-040	1.000000e+000
3.606999729331688e-008	4.696536e-040	1.000000e+000
3.636296604331688e-008	1.104338e-039	1.000000e+000
3.665593479331688e-008	2.578975e-039	1.000000e+000
3.694890354331688e-008	5.982017e-039	1.000000e+000
3.724187229331688e-008	1.378285e-038	1.000000e+000
3.753484104331689e-008	3.154681e-038	1.000000e+000
3.782780979331689e-008	7.173481e-038	1.000000e+000
3.812077854331689e-008	1.620672e-037	1.000000e+000
3.841374729331689e-008	3.638172e-037	1.000000e+000
3.870671604331689e-008	8.115689e-037	1.000000e+000
3.899968479331689e-008	1.799088e-036	1.000000e+000
3.929265354331689e-008	3.963642e-036	1.000000e+000
3.958562229331689e-008	8.679224e-036	1.000000e+000
3.987859104331689e-008	1.889039e-035	1.000000e+000
