time	V(out)	V(n126)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.929687488293547e-015	1.556646e-016	3.906250e-007
5.859374976587093e-015	4.154691e-016	7.812500e-007
6.862165151151572e-012	-1.252388e-008	9.149554e-004
1.371847092732656e-011	5.517186e-009	1.829129e-003
2.057477670350154e-011	5.412320e-008	2.743304e-003
2.743108247967653e-011	1.332941e-007	3.657478e-003
3.428738825585152e-011	2.430300e-007	4.571652e-003
4.114369403202650e-011	3.833309e-007	5.485826e-003
4.799999980820147e-011	5.541967e-007	6.400000e-003
9.599999961640293e-011	3.069748e-006	1.280000e-002
1.404606014236564e-010	7.869455e-006	1.872808e-002
1.783236865824397e-010	1.495918e-005	2.377649e-002
2.133624804419516e-010	2.496240e-005	2.844833e-002
2.524063542346297e-010	4.069572e-005	3.365418e-002
2.929017788970758e-010	6.312768e-005	3.905357e-002
3.425937548498220e-010	1.004707e-004	4.567917e-002
3.978514655120640e-010	1.566409e-004	5.304686e-002
4.645797710677471e-010	2.483008e-004	6.194397e-002
5.403068812387470e-010	3.888706e-004	7.204092e-002
6.307358062350080e-010	6.100618e-004	8.409811e-002
7.079893803692043e-010	8.519860e-004	9.439858e-002
7.836459236611368e-010	1.147804e-003	1.044861e-001
8.648150319715824e-010	1.535091e-003	1.153087e-001
9.533838991931468e-010	2.046893e-003	1.271179e-001
1.051271808406192e-009	2.730482e-003	1.401696e-001
1.159241009936825e-009	3.640999e-003	1.545655e-001
1.278989387682816e-009	4.852387e-003	1.705319e-001
1.396557812889039e-009	6.260813e-003	1.862077e-001
1.506237046328305e-009	7.798449e-003	2.008316e-001
1.622814105635590e-009	9.688525e-003	2.163752e-001
1.745252821730088e-009	1.196944e-002	2.327004e-001
1.878826092854389e-009	1.482304e-002	2.505102e-001
2.021722797969881e-009	1.832049e-002	2.695630e-001
2.177735489724571e-009	2.266071e-002	2.903647e-001
2.313196995441447e-009	2.691523e-002	3.084263e-001
2.459900481889274e-009	3.207599e-002	3.279867e-001
2.607287994033611e-009	3.784571e-002	3.476384e-001
2.769490394963851e-009	4.489861e-002	3.692654e-001
2.937795246810034e-009	5.301576e-002	3.917060e-001
3.121752783602829e-009	6.283145e-002	4.162337e-001
3.302567426918073e-009	7.343683e-002	4.403423e-001
3.469663158169175e-009	8.416302e-002	4.626217e-001
3.654689521797201e-009	9.708539e-002	4.872919e-001
3.840326689612200e-009	1.111482e-001	5.120435e-001
4.044539681067149e-009	1.278631e-001	5.392720e-001
4.227764994987598e-009	1.439971e-001	5.637020e-001
4.422060863015606e-009	1.623289e-001	5.896081e-001
4.617703286808856e-009	1.820259e-001	6.156937e-001
4.828249794968703e-009	2.046041e-001	6.437666e-001
5.045663481100011e-009	2.293381e-001	6.727551e-001
5.245441075231734e-009	2.533767e-001	6.993921e-001
5.458755053440764e-009	2.804216e-001	7.278340e-001
5.673038340546220e-009	3.089569e-001	7.564051e-001
5.903234374701550e-009	3.410959e-001	7.870979e-001
6.139853745656926e-009	3.756155e-001	8.186471e-001
6.361321752244327e-009	4.092804e-001	8.481762e-001
6.593822328680370e-009	4.459829e-001	8.791763e-001
6.829555108356759e-009	4.845125e-001	9.106073e-001
7.079883430092221e-009	5.266638e-001	9.439844e-001
7.241472718691547e-009	5.544651e-001	9.655297e-001
7.281792218401981e-009	5.615106e-001	9.709056e-001
7.362431217822849e-009	5.757636e-001	9.816575e-001
7.499999999999999e-009	6.002429e-001	1.000000e+000
7.513756878217715e-009	6.027173e-001	1.000000e+000
7.541270634653145e-009	6.076754e-001	1.000000e+000
7.596298147524006e-009	6.176348e-001	1.000000e+000
7.706353173265726e-009	6.377046e-001	1.000000e+000
7.926463224749166e-009	6.782098e-001	1.000000e+000
8.165171580565121e-009	7.224838e-001	1.000000e+000
8.402737421334804e-009	7.667159e-001	1.000000e+000
8.670384792129189e-009	8.164217e-001	1.000000e+000
8.933169998465379e-009	8.647488e-001	1.000000e+000
9.208781481879151e-009	9.145519e-001	1.000000e+000
9.491159325499976e-009	9.642915e-001	1.000000e+000
9.769926750783120e-009	1.011768e+000	1.000000e+000
1.004426433841688e-008	1.056541e+000	1.000000e+000
1.033306080973016e-008	1.101283e+000	1.000000e+000
1.062602955973016e-008	1.143921e+000	1.000000e+000
1.091812713245661e-008	1.183400e+000	1.000000e+000
1.120504552286767e-008	1.218964e+000	1.000000e+000
1.149801427286767e-008	1.251801e+000	1.000000e+000
1.179098302286767e-008	1.281006e+000	1.000000e+000
1.208395177286767e-008	1.306445e+000	1.000000e+000
1.237692052286767e-008	1.328042e+000	1.000000e+000
1.266988927286767e-008	1.345757e+000	1.000000e+000
1.296285802286767e-008	1.359590e+000	1.000000e+000
1.325582677286767e-008	1.369574e+000	1.000000e+000
1.354879552286767e-008	1.375777e+000	1.000000e+000
1.384176427286767e-008	1.378297e+000	1.000000e+000
1.413473302286767e-008	1.377263e+000	1.000000e+000
1.442770177286767e-008	1.372831e+000	1.000000e+000
1.472067052286767e-008	1.365181e+000	1.000000e+000
1.501363927286767e-008	1.354515e+000	1.000000e+000
1.530660802286767e-008	1.341053e+000	1.000000e+000
1.559957677286767e-008	1.325035e+000	1.000000e+000
1.589254552286767e-008	1.306709e+000	1.000000e+000
1.618551427286767e-008	1.286339e+000	1.000000e+000
1.647848302286768e-008	1.264193e+000	1.000000e+000
1.677145177286768e-008	1.240546e+000	1.000000e+000
1.706442052286768e-008	1.215676e+000	1.000000e+000
1.735738927286768e-008	1.189858e+000	1.000000e+000
1.765035802286768e-008	1.163367e+000	1.000000e+000
1.794332677286768e-008	1.136472e+000	1.000000e+000
1.823629552286768e-008	1.109433e+000	1.000000e+000
1.852926427286768e-008	1.082504e+000	1.000000e+000
1.882223302286768e-008	1.055924e+000	1.000000e+000
1.911520177286768e-008	1.029921e+000	1.000000e+000
1.940817052286768e-008	1.004709e+000	1.000000e+000
1.970113927286768e-008	9.804831e-001	1.000000e+000
1.999410802286768e-008	9.574243e-001	1.000000e+000
2.028707677286768e-008	9.356945e-001	1.000000e+000
2.058004552286768e-008	9.154366e-001	1.000000e+000
2.087301427286768e-008	8.967745e-001	1.000000e+000
2.116598302286768e-008	8.798124e-001	1.000000e+000
2.145895177286768e-008	8.646348e-001	1.000000e+000
2.175192052286768e-008	8.513063e-001	1.000000e+000
2.204488927286768e-008	8.398724e-001	1.000000e+000
2.233785802286769e-008	8.303590e-001	1.000000e+000
2.263082677286769e-008	8.227739e-001	1.000000e+000
2.292379552286769e-008	8.171068e-001	1.000000e+000
2.321676427286769e-008	8.133303e-001	1.000000e+000
2.350973302286769e-008	8.114010e-001	1.000000e+000
2.380270177286769e-008	8.112606e-001	1.000000e+000
2.409567052286769e-008	8.128368e-001	1.000000e+000
2.438863927286769e-008	8.160444e-001	1.000000e+000
2.468160802286769e-008	8.207875e-001	1.000000e+000
2.497457677286769e-008	8.269595e-001	1.000000e+000
2.526754552286769e-008	8.344455e-001	1.000000e+000
2.556051427286769e-008	8.431234e-001	1.000000e+000
2.585348302286769e-008	8.528652e-001	1.000000e+000
2.614645177286769e-008	8.635384e-001	1.000000e+000
2.643942052286769e-008	8.750076e-001	1.000000e+000
2.673238927286769e-008	8.871356e-001	1.000000e+000
2.702535802286769e-008	8.997850e-001	1.000000e+000
2.731832677286769e-008	9.128191e-001	1.000000e+000
2.761129552286769e-008	9.261037e-001	1.000000e+000
2.790426427286770e-008	9.395074e-001	1.000000e+000
2.819723302286770e-008	9.529032e-001	1.000000e+000
2.849020177286770e-008	9.661697e-001	1.000000e+000
2.878317052286770e-008	9.791914e-001	1.000000e+000
2.907613927286770e-008	9.918599e-001	1.000000e+000
2.936910802286770e-008	1.004074e+000	1.000000e+000
2.966207677286770e-008	1.015742e+000	1.000000e+000
2.995504552286770e-008	1.026780e+000	1.000000e+000
3.024801427286770e-008	1.037113e+000	1.000000e+000
3.054098302286770e-008	1.046676e+000	1.000000e+000
3.083395177286770e-008	1.055414e+000	1.000000e+000
3.112692052286770e-008	1.063281e+000	1.000000e+000
3.141988927286770e-008	1.070241e+000	1.000000e+000
3.171285802286770e-008	1.076269e+000	1.000000e+000
3.200582677286770e-008	1.081348e+000	1.000000e+000
3.229879552286770e-008	1.085470e+000	1.000000e+000
3.259176427286770e-008	1.088638e+000	1.000000e+000
3.288473302286770e-008	1.090861e+000	1.000000e+000
3.317770177286770e-008	1.092159e+000	1.000000e+000
3.347067052286770e-008	1.092558e+000	1.000000e+000
3.376363927286771e-008	1.092091e+000	1.000000e+000
3.405660802286771e-008	1.090798e+000	1.000000e+000
3.434957677286771e-008	1.088725e+000	1.000000e+000
3.464254552286771e-008	1.085922e+000	1.000000e+000
3.493551427286771e-008	1.082445e+000	1.000000e+000
3.522848302286771e-008	1.078354e+000	1.000000e+000
3.552145177286771e-008	1.073711e+000	1.000000e+000
3.581442052286771e-008	1.068581e+000	1.000000e+000
3.610738927286771e-008	1.063031e+000	1.000000e+000
3.640035802286771e-008	1.057128e+000	1.000000e+000
3.669332677286771e-008	1.050941e+000	1.000000e+000
3.698629552286771e-008	1.044538e+000	1.000000e+000
3.727926427286771e-008	1.037986e+000	1.000000e+000
3.757223302286771e-008	1.031350e+000	1.000000e+000
3.786520177286771e-008	1.024695e+000	1.000000e+000
3.815817052286771e-008	1.018082e+000	1.000000e+000
3.845113927286771e-008	1.011569e+000	1.000000e+000
3.874410802286771e-008	1.005211e+000	1.000000e+000
3.903707677286771e-008	9.990608e-001	1.000000e+000
3.933004552286771e-008	9.931648e-001	1.000000e+000
3.962301427286772e-008	9.875664e-001	1.000000e+000
3.991598302286772e-008	9.823044e-001	1.000000e+000
4.020895177286772e-008	9.774128e-001	1.000000e+000
4.050192052286772e-008	9.729209e-001	1.000000e+000
4.079488927286772e-008	9.688531e-001	1.000000e+000
4.108785802286772e-008	9.652291e-001	1.000000e+000
4.138082677286772e-008	9.620636e-001	1.000000e+000
4.167379552286772e-008	9.593663e-001	1.000000e+000
4.196676427286772e-008	9.571428e-001	1.000000e+000
4.225973302286772e-008	9.553938e-001	1.000000e+000
4.255270177286772e-008	9.541156e-001	1.000000e+000
4.284567052286772e-008	9.533006e-001	1.000000e+000
4.313863927286772e-008	9.529370e-001	1.000000e+000
4.343160802286772e-008	9.530097e-001	1.000000e+000
4.372457677286772e-008	9.535000e-001	1.000000e+000
4.401754552286772e-008	9.543863e-001	1.000000e+000
4.431051427286772e-008	9.556442e-001	1.000000e+000
4.460348302286772e-008	9.572471e-001	1.000000e+000
4.489645177286772e-008	9.591660e-001	1.000000e+000
4.518942052286772e-008	9.613707e-001	1.000000e+000
4.548238927286773e-008	9.638292e-001	1.000000e+000
4.577535802286773e-008	9.665086e-001	1.000000e+000
4.606832677286773e-008	9.693757e-001	1.000000e+000
4.636129552286773e-008	9.723965e-001	1.000000e+000
4.665426427286773e-008	9.755372e-001	1.000000e+000
4.694723302286773e-008	9.787644e-001	1.000000e+000
4.724020177286773e-008	9.820449e-001	1.000000e+000
4.753317052286773e-008	9.853470e-001	1.000000e+000
4.782613927286773e-008	9.886395e-001	1.000000e+000
4.811910802286773e-008	9.918929e-001	1.000000e+000
4.841207677286773e-008	9.950793e-001	1.000000e+000
4.870504552286773e-008	9.981722e-001	1.000000e+000
4.899801427286773e-008	1.001148e+000	1.000000e+000
4.929098302286773e-008	1.003983e+000	1.000000e+000
4.958395177286773e-008	1.006659e+000	1.000000e+000
4.987692052286773e-008	1.009156e+000	1.000000e+000
5.016988927286773e-008	1.011461e+000	1.000000e+000
5.046285802286773e-008	1.013560e+000	1.000000e+000
5.075582677286773e-008	1.015441e+000	1.000000e+000
5.104879552286773e-008	1.017098e+000	1.000000e+000
5.134176427286774e-008	1.018524e+000	1.000000e+000
5.163473302286774e-008	1.019715e+000	1.000000e+000
5.192770177286774e-008	1.020671e+000	1.000000e+000
5.222067052286774e-008	1.021393e+000	1.000000e+000
5.251363927286774e-008	1.021883e+000	1.000000e+000
5.280660802286774e-008	1.022147e+000	1.000000e+000
5.309957677286774e-008	1.022191e+000	1.000000e+000
5.339254552286774e-008	1.022024e+000	1.000000e+000
5.368551427286774e-008	1.021657e+000	1.000000e+000
5.397848302286774e-008	1.021100e+000	1.000000e+000
5.427145177286774e-008	1.020368e+000	1.000000e+000
5.456442052286774e-008	1.019473e+000	1.000000e+000
5.485738927286774e-008	1.018430e+000	1.000000e+000
5.515035802286774e-008	1.017256e+000	1.000000e+000
5.544332677286774e-008	1.015965e+000	1.000000e+000
5.573629552286774e-008	1.014576e+000	1.000000e+000
5.602926427286774e-008	1.013104e+000	1.000000e+000
5.632223302286774e-008	1.011566e+000	1.000000e+000
5.661520177286774e-008	1.009979e+000	1.000000e+000
5.690817052286774e-008	1.008359e+000	1.000000e+000
5.720113927286775e-008	1.006723e+000	1.000000e+000
5.749410802286775e-008	1.005086e+000	1.000000e+000
5.778707677286775e-008	1.003463e+000	1.000000e+000
5.808004552286775e-008	1.001868e+000	1.000000e+000
5.837301427286775e-008	1.000314e+000	1.000000e+000
5.866598302286775e-008	9.988147e-001	1.000000e+000
5.895895177286775e-008	9.973806e-001	1.000000e+000
5.925192052286775e-008	9.960222e-001	1.000000e+000
5.954488927286775e-008	9.947488e-001	1.000000e+000
5.983785802286774e-008	9.935686e-001	1.000000e+000
6.013082677286774e-008	9.924884e-001	1.000000e+000
6.042379552286773e-008	9.915138e-001	1.000000e+000
6.071676427286772e-008	9.906496e-001	1.000000e+000
6.100973302286772e-008	9.898989e-001	1.000000e+000
6.130270177286771e-008	9.892639e-001	1.000000e+000
6.159567052286771e-008	9.887457e-001	1.000000e+000
6.188863927286770e-008	9.883442e-001	1.000000e+000
6.218160802286769e-008	9.880582e-001	1.000000e+000
6.247457677286769e-008	9.878856e-001	1.000000e+000
6.276754552286768e-008	9.878233e-001	1.000000e+000
6.306051427286768e-008	9.878673e-001	1.000000e+000
6.335348302286767e-008	9.880129e-001	1.000000e+000
6.364645177286766e-008	9.882545e-001	1.000000e+000
6.393942052286766e-008	9.885859e-001	1.000000e+000
6.423238927286765e-008	9.890006e-001	1.000000e+000
6.452535802286765e-008	9.894913e-001	1.000000e+000
6.481832677286764e-008	9.900504e-001	1.000000e+000
6.511129552286763e-008	9.906699e-001	1.000000e+000
6.540426427286763e-008	9.913418e-001	1.000000e+000
6.569723302286762e-008	9.920579e-001	1.000000e+000
6.599020177286761e-008	9.928097e-001	1.000000e+000
6.628317052286761e-008	9.935889e-001	1.000000e+000
6.657613927286760e-008	9.943874e-001	1.000000e+000
6.686910802286760e-008	9.951970e-001	1.000000e+000
6.716207677286759e-008	9.960099e-001	1.000000e+000
6.745504552286758e-008	9.968188e-001	1.000000e+000
6.774801427286758e-008	9.976162e-001	1.000000e+000
6.804098302286757e-008	9.983954e-001	1.000000e+000
6.833395177286757e-008	9.991502e-001	1.000000e+000
6.862692052286756e-008	9.998745e-001	1.000000e+000
6.891988927286755e-008	1.000563e+000	1.000000e+000
6.921285802286755e-008	1.001211e+000	1.000000e+000
6.950582677286754e-008	1.001815e+000	1.000000e+000
6.979879552286754e-008	1.002370e+000	1.000000e+000
7.009176427286753e-008	1.002873e+000	1.000000e+000
7.038473302286752e-008	1.003323e+000	1.000000e+000
7.067770177286752e-008	1.003716e+000	1.000000e+000
7.097067052286751e-008	1.004053e+000	1.000000e+000
7.126363927286750e-008	1.004332e+000	1.000000e+000
7.155660802286750e-008	1.004553e+000	1.000000e+000
7.184957677286749e-008	1.004716e+000	1.000000e+000
7.214254552286749e-008	1.004823e+000	1.000000e+000
7.243551427286748e-008	1.004874e+000	1.000000e+000
7.272848302286747e-008	1.004872e+000	1.000000e+000
7.302145177286747e-008	1.004818e+000	1.000000e+000
7.331442052286746e-008	1.004716e+000	1.000000e+000
7.360738927286746e-008	1.004568e+000	1.000000e+000
7.390035802286745e-008	1.004377e+000	1.000000e+000
7.419332677286744e-008	1.004147e+000	1.000000e+000
7.448629552286744e-008	1.003882e+000	1.000000e+000
7.477926427286743e-008	1.003586e+000	1.000000e+000
7.507223302286743e-008	1.003261e+000	1.000000e+000
7.536520177286742e-008	1.002914e+000	1.000000e+000
7.565817052286741e-008	1.002547e+000	1.000000e+000
7.595113927286741e-008	1.002165e+000	1.000000e+000
7.624410802286740e-008	1.001772e+000	1.000000e+000
7.653707677286739e-008	1.001372e+000	1.000000e+000
7.683004552286739e-008	1.000969e+000	1.000000e+000
7.712301427286738e-008	1.000566e+000	1.000000e+000
7.741598302286738e-008	1.000168e+000	1.000000e+000
7.770895177286737e-008	9.997777e-001	1.000000e+000
7.800192052286736e-008	9.993983e-001	1.000000e+000
7.829488927286736e-008	9.990329e-001	1.000000e+000
7.858785802286735e-008	9.986843e-001	1.000000e+000
7.888082677286735e-008	9.983549e-001	1.000000e+000
7.917379552286734e-008	9.980470e-001	1.000000e+000
7.946676427286733e-008	9.977624e-001	1.000000e+000
7.975973302286733e-008	9.975029e-001	1.000000e+000
8.005270177286732e-008	9.972696e-001	1.000000e+000
8.034567052286732e-008	9.970638e-001	1.000000e+000
8.063863927286731e-008	9.968861e-001	1.000000e+000
8.093160802286730e-008	9.967369e-001	1.000000e+000
8.122457677286730e-008	9.966165e-001	1.000000e+000
8.151754552286729e-008	9.965248e-001	1.000000e+000
8.181051427286728e-008	9.964615e-001	1.000000e+000
8.210348302286728e-008	9.964258e-001	1.000000e+000
8.239645177286727e-008	9.964171e-001	1.000000e+000
8.268942052286727e-008	9.964343e-001	1.000000e+000
8.298238927286726e-008	9.964762e-001	1.000000e+000
8.327535802286725e-008	9.965413e-001	1.000000e+000
8.356832677286725e-008	9.966282e-001	1.000000e+000
8.386129552286724e-008	9.967351e-001	1.000000e+000
8.415426427286724e-008	9.968603e-001	1.000000e+000
8.444723302286723e-008	9.970018e-001	1.000000e+000
8.474020177286722e-008	9.971577e-001	1.000000e+000
8.503317052286722e-008	9.973260e-001	1.000000e+000
8.532613927286721e-008	9.975047e-001	1.000000e+000
8.561910802286721e-008	9.976916e-001	1.000000e+000
8.591207677286720e-008	9.978849e-001	1.000000e+000
8.620504552286719e-008	9.980823e-001	1.000000e+000
8.649801427286719e-008	9.982820e-001	1.000000e+000
8.679098302286718e-008	9.984820e-001	1.000000e+000
8.708395177286717e-008	9.986806e-001	1.000000e+000
8.737692052286717e-008	9.988759e-001	1.000000e+000
8.766988927286716e-008	9.990664e-001	1.000000e+000
8.796285802286716e-008	9.992504e-001	1.000000e+000
8.825582677286715e-008	9.994267e-001	1.000000e+000
8.854879552286714e-008	9.995939e-001	1.000000e+000
8.884176427286714e-008	9.997507e-001	1.000000e+000
8.913473302286713e-008	9.998963e-001	1.000000e+000
8.942770177286713e-008	1.000030e+000	1.000000e+000
8.972067052286712e-008	1.000151e+000	1.000000e+000
9.001363927286711e-008	1.000258e+000	1.000000e+000
9.030660802286711e-008	1.000351e+000	1.000000e+000
9.059957677286710e-008	1.000431e+000	1.000000e+000
9.089254552286710e-008	1.000496e+000	1.000000e+000
9.118551427286709e-008	1.000546e+000	1.000000e+000
9.147848302286708e-008	1.000583e+000	1.000000e+000
9.177145177286708e-008	1.000606e+000	1.000000e+000
9.206442052286707e-008	1.000615e+000	1.000000e+000
9.235738927286706e-008	1.000612e+000	1.000000e+000
9.265035802286706e-008	1.000595e+000	1.000000e+000
9.294332677286705e-008	1.000567e+000	1.000000e+000
9.323629552286705e-008	1.000528e+000	1.000000e+000
9.352926427286704e-008	1.000479e+000	1.000000e+000
9.382223302286703e-008	1.000420e+000	1.000000e+000
9.411520177286703e-008	1.000353e+000	1.000000e+000
9.440817052286702e-008	1.000278e+000	1.000000e+000
9.470113927286702e-008	1.000196e+000	1.000000e+000
9.499410802286701e-008	1.000110e+000	1.000000e+000
9.528707677286700e-008	1.000018e+000	1.000000e+000
9.558004552286700e-008	9.999235e-001	1.000000e+000
9.587301427286699e-008	9.998262e-001	1.000000e+000
9.616598302286699e-008	9.997274e-001	1.000000e+000
9.645895177286698e-008	9.996281e-001	1.000000e+000
9.675192052286697e-008	9.995292e-001	1.000000e+000
9.704488927286697e-008	9.994316e-001	1.000000e+000
9.733785802286696e-008	9.993361e-001	1.000000e+000
9.763082677286695e-008	9.992435e-001	1.000000e+000
9.792379552286695e-008	9.991545e-001	1.000000e+000
9.821676427286694e-008	9.990698e-001	1.000000e+000
9.850973302286694e-008	9.989900e-001	1.000000e+000
9.880270177286693e-008	9.989156e-001	1.000000e+000
9.909567052286692e-008	9.988470e-001	1.000000e+000
9.938863927286692e-008	9.987847e-001	1.000000e+000
9.968160802286691e-008	9.987290e-001	1.000000e+000
9.997457677286691e-008	9.986800e-001	1.000000e+000
1.002675455228669e-007	9.986380e-001	1.000000e+000
1.005605142728669e-007	9.986030e-001	1.000000e+000
1.008534830228669e-007	9.985752e-001	1.000000e+000
1.011464517728669e-007	9.985543e-001	1.000000e+000
1.014394205228669e-007	9.985405e-001	1.000000e+000
1.017323892728669e-007	9.985334e-001	1.000000e+000
1.020253580228669e-007	9.985329e-001	1.000000e+000
1.023183267728669e-007	9.985386e-001	1.000000e+000
1.026112955228669e-007	9.985504e-001	1.000000e+000
1.029042642728668e-007	9.985678e-001	1.000000e+000
1.031972330228668e-007	9.985905e-001	1.000000e+000
1.034902017728668e-007	9.986179e-001	1.000000e+000
1.037831705228668e-007	9.986498e-001	1.000000e+000
1.040761392728668e-007	9.986856e-001	1.000000e+000
1.043691080228668e-007	9.987248e-001	1.000000e+000
1.046620767728668e-007	9.987669e-001	1.000000e+000
1.049550455228668e-007	9.988114e-001	1.000000e+000
1.052480142728668e-007	9.988579e-001	1.000000e+000
1.055409830228668e-007	9.989058e-001	1.000000e+000
1.058339517728668e-007	9.989545e-001	1.000000e+000
1.061269205228668e-007	9.990038e-001	1.000000e+000
1.064198892728668e-007	9.990529e-001	1.000000e+000
1.067128580228668e-007	9.991017e-001	1.000000e+000
1.070058267728668e-007	9.991496e-001	1.000000e+000
1.072070312500000e-007	9.991817e-001	1.000000e+000
1.075000000000000e-007	9.992275e-001	1.000000e+000
1.075292968750000e-007	9.992313e-001	9.960938e-001
1.075878906250000e-007	9.992353e-001	9.882813e-001
1.077050781250000e-007	9.992081e-001	9.726563e-001
1.079394531250000e-007	9.989585e-001	9.414063e-001
1.082324218750000e-007	9.981495e-001	9.023438e-001
1.085253906250000e-007	9.965127e-001	8.632813e-001
1.088183593750000e-007	9.937232e-001	8.242188e-001
1.091113281250000e-007	9.894987e-001	7.851563e-001
1.094042968749999e-007	9.835813e-001	7.460938e-001
1.096972656249999e-007	9.757392e-001	7.070313e-001
1.099902343749999e-007	9.657679e-001	6.679688e-001
1.102832031249999e-007	9.534901e-001	6.289063e-001
1.105761718749999e-007	9.387575e-001	5.898438e-001
1.108691406249999e-007	9.214498e-001	5.507813e-001
